Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.717168	  1.701610	  0.025150	         0
ARGB to YUV420P - FR - NON-SSE - fast resampling                                	  9.975971	  9.946850	  0.037970	         0
ARGB to YUV420P - bt.601 - NON-SSE - fast resampling                            	 10.861335	 10.828680	  0.041250	         0
ARGB to YUV420P - bt.709 - NON-SSE - fast resampling                            	 10.861726	 10.830100	  0.040340	         0

ARGB to v210 - Fr - SSE2/SSSE3/SSE41 - fast resampling                          	  2.902958	  2.884500	  0.027910	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.970394	  2.952700	  0.027330	         0
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.968711	  2.951520	  0.026790	         0
ARGB to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.648857	  3.627590	  0.030820	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.803056	  3.784010	  0.028700	         0
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.880707	  3.859430	  0.030680	         0
ARGB to v210 - FR - SSE2/SSSE3 - fast resampling                                	  3.107992	  3.088620	  0.029020	         0
ARGB to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  3.324698	  3.305430	  0.029040	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  3.209500	  3.190980	  0.028200	         0
ARGB to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.808514	  3.788340	  0.029630	         0
ARGB to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.857707	  3.840810	  0.026560	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.858766	  3.840830	  0.027430	         0
ARGB to v210 - FR - NON-SSE - fast resampling                                   	  9.174056	  9.144280	  0.039020	         0
ARGB to v210 - bt.601 - NON-SSE - fast resampling                               	  8.946198	  8.921560	  0.033840	         0
ARGB to v210 - bt.709 - NON-SSE - fast resampling                               	  8.942386	  8.916060	  0.035810	         0
ARGB to v210 - FR - NON-SSE - avg resampling                                    	 12.915661	 12.877270	  0.047260	         0
ARGB to v210 - bt.601 - NON-SSE - avg resampling                                	 13.193874	 13.157670	  0.045160	         0
ARGB to v210 - bt.709 - NON-SSE - avg resampling                                	 13.185332	 13.154340	  0.040140	         0

BGRA to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.765053	  1.750840	  0.023790	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.796259	  1.782010	  0.023570	         0
BGRA to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.798542	  1.783830	  0.024330	         0
BGRA to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.268838	  2.252650	  0.025590	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.313588	  2.295990	  0.027120	         0
BGRA to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.310932	  2.294180	  0.026370	         0
BGRA to YUYV - FR - SSE2 - fast resampling                                      	  1.778765	  1.763520	  0.024710	         0
BGRA to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.864738	  1.850160	  0.024080	         0
BGRA to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.860329	  1.846780	  0.023090	         0
BGRA to YUYV - FR - SSE2 - avg resampling                                       	  2.541661	  2.524970	  0.026000	         0
BGRA to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.468162	  2.450580	  0.027170	         0
BGRA to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.464840	  2.447660	  0.026590	         0
BGRA to YUYV - FR - NON-SSE - fast resampling                                   	 11.007596	 10.979460	  0.036820	         0
BGRA to YUYV - bt.601 - NON-SSE - fast resampling                               	 11.011697	 10.978830	  0.041690	         0
BGRA to YUYV - bt.709 - NON-SSE - fast resampling                               	 11.002590	 10.971870	  0.039410	         0
BGRA to YUYV - FR - NON-SSE - avg resampling                                    	 13.548216	 13.513410	  0.043640	         0
