Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.659249	  0.000000	  0.000000	         0
ARGB to YUV420P - FR - NON-SSE - fast resampling                                	 11.647012	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.601 - NON-SSE - fast resampling                            	 11.374367	  0.000000	  0.000000	         0
ARGB to YUV420P - bt.709 - NON-SSE - fast resampling                            	 11.380214	  0.000000	  0.000000	         0

ARGB to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                          	  2.658289	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.735802	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.731812	  0.000000	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.306257	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.355164	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.351989	  0.000000	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3 - fast resampling                                	  2.761723	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  2.861340	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  2.867879	  0.000000	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.408188	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.424978	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.418823	  0.000000	  0.000000	         0
ARGB to v210 - FR - NON-SSE - fast resampling                                   	 11.454633	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - NON-SSE - fast resampling                               	 11.395037	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - NON-SSE - fast resampling                               	 11.395296	  0.000000	  0.000000	         0
ARGB to v210 - FR - NON-SSE - avg resampling                                    	 14.061686	  0.000000	  0.000000	         0
ARGB to v210 - bt.601 - NON-SSE - avg resampling                                	 14.094172	  0.000000	  0.000000	         0
ARGB to v210 - bt.709 - NON-SSE - avg resampling                                	 14.070065	  0.000000	  0.000000	         0

BGRA to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.831682	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.881353	  0.000000	  0.000000	         0
BGRA to YUYV - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.876675	  0.000000	  0.000000	         0
BGRA to YUYV - FR - SSE2/SSSE3 - avg resampling                                 	  2.239052	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.351911	  0.000000	  0.000000	         0
BGRA to YUYV - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.348864	  0.000000	  0.000000	         0
BGRA to YUYV - FR - SSE2 - fast resampling                                      	  1.791871	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2 - fast resampling                                  	  1.841223	  0.000000	  0.000000	         0
BGRA to YUYV - bt.709 - SSE2 - fast resampling                                  	  1.856258	  0.000000	  0.000000	         0
BGRA to YUYV - FR - SSE2 - avg resampling                                       	  2.223253	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2 - avg resampling                                   	  2.297690	  0.000000	  0.000000	         0
BGRA to YUYV - bt.709 - SSE2 - avg resampling                                   	  2.284605	  0.000000	  0.000000	         0
BGRA to YUYV - FR - NON-SSE - fast resampling                                   	 10.209110	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - NON-SSE - fast resampling                               	 10.585746	  0.000000	  0.000000	         0
BGRA to YUYV - bt.709 - NON-SSE - fast resampling                               	 10.292511	  0.000000	  0.000000	         0
BGRA to YUYV - FR - NON-SSE - avg resampling                                    	 14.278293	  0.000000	  0.000000	         0
BGRA to YUYV - bt.601 - NON-SSE - avg resampling                                	 14.078275	  0.000000	  0.000000	         0
BGRA to YUYV - bt.709 - NON-SSE - avg resampling                                	 14.107872	  0.000000	  0.000000	         0

BGRA to UYVY - FR - SSE2/SSSE3 - fast resampling                                	  1.798790	  0.000000	  0.000000	         0
BGRA to UYVY - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.868761	  0.000000	  0.000000	         0
BGRA to UYVY - bt.709 - SSE2/SSSE3 - fast resampling                            	  1.868937	  0.000000	  0.000000	         0
BGRA to UYVY - FR - SSE2/SSSE3 - avg resampling                                 	  2.213156	  0.000000	  0.000000	         0
BGRA to UYVY - bt.601 - SSE2/SSSE3 - avg resampling                             	  2.325941	  0.000000	  0.000000	         0
BGRA to UYVY - bt.709 - SSE2/SSSE3 - avg resampling                             	  2.339389	  0.000000	  0.000000	         0
BGRA to UYVY - FR - SSE2 - fast resampling                                      	  1.753789	  0.000000	  0.000000	         0
BGRA to UYVY - bt.601 - SSE2 - fast resampling                                  	  1.817053	  0.000000	  0.000000	         0
BGRA to UYVY - bt.709 - SSE2 - fast resampling                                  	  1.813078	  0.000000	  0.000000	         0
BGRA to UYVY - FR - SSE2 - avg resampling                                       	  2.222434	  0.000000	  0.000000	         0
BGRA to UYVY - bt.601 - SSE2 - avg resampling                                   	  2.294377	  0.000000	  0.000000	         0
BGRA to UYVY - bt.709 - SSE2 - avg resampling                                   	  2.301837	  0.000000	  0.000000	         0
BGRA to UYVY - FR - NON-SSE - fast resampling                                   	 10.419259	  0.000000	  0.000000	         0
BGRA to UYVY - bt.601 - NON-SSE - fast resampling                               	 10.895160	  0.000000	  0.000000	         0
BGRA to UYVY - bt.709 - NON-SSE - fast resampling                               	 10.893920	  0.000000	  0.000000	         0
BGRA to UYVY - FR - NON-SSE - avg resampling                                    	 15.032263	  0.000000	  0.000000	         0
BGRA to UYVY - bt.601 - NON-SSE - avg resampling                                	 14.741647	  0.000000	  0.000000	         0
BGRA to UYVY - bt.709 - NON-SSE - avg resampling                                	 14.699451	  0.000000	  0.000000	         0

BGRA to YUV422P - FR - SSE2/SSSE3 - fast resampling                             	  1.889618	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.951522	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.956177	  0.000000	  0.000000	         0
BGRA to YUV422P - FR - SSE2/SSSE3 - avg resampling                              	  2.343872	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.601 - SSE2/SSSE3 - avg resampling                          	  2.365584	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.709 - SSE2/SSSE3 - avg resampling                          	  2.363668	  0.000000	  0.000000	         0
BGRA to YUV422P - FR - SSE2 - fast resampling                                   	  1.819145	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.601 - SSE2 - fast resampling                               	  1.862874	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.709 - SSE2 - fast resampling                               	  1.865763	  0.000000	  0.000000	         0
BGRA to YUV422P - FR - SSE2 - avg resampling                                    	  2.332740	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.601 - SSE2 - avg resampling                                	  2.356851	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.709 - SSE2 - avg resampling                                	  2.351578	  0.000000	  0.000000	         0
BGRA to YUV422P - FR - NON-SSE - fast resampling                                	 11.854579	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.601 - NON-SSE - fast resampling                            	 12.468474	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.709 - NON-SSE - fast resampling                            	 12.586357	  0.000000	  0.000000	         0
BGRA to YUV422P - FR - NON-SSE - avg resampling                                 	 15.928944	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.601 - NON-SSE - avg resampling                             	 15.690811	  0.000000	  0.000000	         0
BGRA to YUV422P - bt.709 - NON-SSE - avg resampling                             	 15.576801	  0.000000	  0.000000	         0

BGRA to YUV420P - FR - SSE2/SSSE3 - fast resampling                             	  1.653759	  0.000000	  0.000000	         0
BGRA to YUV420P - bt.601 - SSE2/SSSE3 - fast resampling                         	  1.672850	  0.000000	  0.000000	         0
BGRA to YUV420P - bt.709 - SSE2/SSSE3 - fast resampling                         	  1.682493	  0.000000	  0.000000	         0
BGRA to YUV420P - FR - SSE2 - fast resampling                                   	  1.654154	  0.000000	  0.000000	         0
BGRA to YUV420P - bt.601 - SSE2 - fast resampling                               	  1.689753	  0.000000	  0.000000	         0
BGRA to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.672052	  0.000000	  0.000000	         0
BGRA to YUV420P - FR - NON-SSE - fast resampling                                	 11.594949	  0.000000	  0.000000	         0
BGRA to YUV420P - bt.601 - NON-SSE - fast resampling                            	 11.395446	  0.000000	  0.000000	         0
BGRA to YUV420P - bt.709 - NON-SSE - fast resampling                            	 11.398197	  0.000000	  0.000000	         0

BGRA to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                          	  2.640483	  0.000000	  0.000000	         0
BGRA to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.720270	  0.000000	  0.000000	         0
