Conversion Block Name                                                           	Avg Time(ms)	Avg User(ms)	Avg Sys(ms)	Total Ctx Sw
ARGB to YUV420P - bt.709 - SSE2 - fast resampling                               	  1.745677	  1.720110	  0.000000	         2
ARGB to YUV420P - FR - NON-SSE - fast resampling                                	 10.685302	 10.640660	  0.040000	         3
ARGB to YUV420P - bt.601 - NON-SSE - fast resampling                            	 10.693502	 10.680670	  0.000000	         4
ARGB to YUV420P - bt.709 - NON-SSE - fast resampling                            	 10.686282	 10.640660	  0.040000	         2

ARGB to v210 - FR - SSE2/SSSE3/SSE41 - fast resampling                          	  2.856939	  2.800180	  0.040010	         4
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.891142	  2.840180	  0.000000	         2
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - fast resampling                      	  2.895067	  2.880180	  0.000000	         0
ARGB to v210 - FR - SSE2/SSSE3/SSE41 - avg resampling                           	  3.465992	  3.480220	  0.000000	         0
ARGB to v210 - bt.601 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.466975	  3.440220	  0.000000	         1
ARGB to v210 - bt.709 - SSE2/SSSE3/SSE41 - avg resampling                       	  3.507557	  3.480220	  0.040000	         1
ARGB to v210 - FR - SSE2/SSSE3 - fast resampling                                	  2.938661	  2.920190	  0.000000	         1
ARGB to v210 - bt.601 - SSE2/SSSE3 - fast resampling                            	  2.999950	  2.960190	  0.000000	         0
ARGB to v210 - bt.709 - SSE2/SSSE3 - fast resampling                            	  3.003608	  2.920190	  0.040010	         4
ARGB to v210 - FR - SSE2/SSSE3 - avg resampling                                 	  3.581394	  3.560220	  0.000000	         2
ARGB to v210 - bt.601 - SSE2/SSSE3 - avg resampling                             	  3.685301	  3.680230	  0.000000	         2
ARGB to v210 - bt.709 - SSE2/SSSE3 - avg resampling                             	  3.757128	  3.760240	  0.000000	         1
ARGB to v210 - FR - NON-SSE - fast resampling                                   	 11.506733	 11.440720	  0.000000	         2
ARGB to v210 - bt.601 - NON-SSE - fast resampling                               	 11.543237	 11.520720	  0.000000	         3
ARGB to v210 - bt.709 - NON-SSE - fast resampling                               	 11.497215	 11.480720	  0.000000	         3
ARGB to v210 - FR - NON-SSE - avg resampling                                    	 15.768753	 15.760980	  0.000000	         4
ARGB to v210 - bt.601 - NON-SSE - avg resampling                                	 15.969707	 15.881000	  0.000000	         0
ARGB to v210 - bt.709 - NON-SSE - avg resampling                                	 16.025114	 16.001000	  0.000000	         4

BGRA to YUYV - FR - SSE2/SSSE3 - fast resampling                                	  1.706620	  1.720110	  0.000000	         0
BGRA to YUYV - bt.601 - SSE2/SSSE3 - fast resampling                            	  1.751663	  1.760110	  0.000000	         0
